
NormalizedLandmark(x=0.5959416627883911, y=0.6547465920448303, z=-0.1938287764787674, visibility=0.9997654557228088, presence=0.9994852542877197)
NormalizedLandmark(x=0.5998938679695129, y=0.6437784433364868, z=-0.18344621360301971, visibility=0.9997416138648987, presence=0.9994243383407593)
NormalizedLandmark(x=0.6009604334831238, y=0.6626825332641602, z=-0.23595841228961945, visibility=0.9997828602790833, presence=0.9996157884597778)
NormalizedLandmark(x=0.601341962814331, y=0.6546480655670166, z=-0.14475078880786896, visibility=0.999752938747406, presence=0.9992934465408325)
NormalizedLandmark(x=0.5995832085609436, y=0.6550429463386536, z=-0.2076762467622757, visibility=0.9995272159576416, presence=0.9985894560813904)
NormalizedLandmark(x=0.6000515818595886, y=0.6578251123428345, z=-0.13923689723014832, visibility=0.9997718930244446, presence=0.999512791633606)
NormalizedLandmark(x=0.6036701202392578, y=0.6638635993003845, z=-0.2555766999721527, visibility=0.9994385838508606, presence=0.9988536834716797)
NormalizedLandmark(x=0.6000210642814636, y=0.6587141156196594, z=-0.2220751792192459, visibility=0.9989829659461975, presence=0.9972385168075562)
NormalizedLandmark(x=0.5982511639595032, y=0.6622881293296814, z=-0.25173670053482056, visibility=0.9988536834716797, presence=0.9968340992927551)
NormalizedLandmark(x=0.5997412204742432, y=0.6758456826210022, z=-0.192562535405159, visibility=0.9987673759460449, presence=0.9971862435340881)
NormalizedLandmark(x=0.5977423191070557, y=0.6609091758728027, z=-0.17829111218452454, visibility=0.9986597299575806, presence=0.9959035515785217)
NormalizedLandmark(x=0.6059779524803162, y=0.6595147252082825, z=-0.17765329778194427, visibility=0.9994015693664551, presence=0.9984176158905029)
NormalizedLandmark(x=0.604587972164154, y=0.6637745499610901, z=-0.21721836924552917, visibility=0.999350368976593, presence=0.9984512329101562)
NormalizedLandmark(x=0.5981997847557068, y=0.6702946424484253, z=-0.21346023678779602, visibility=0.9985972046852112, presence=0.9955273270606995)
NormalizedLandmark(x=0.6020047664642334, y=0.6596917510032654, z=-0.24288485944271088, visibility=0.9990052580833435, presence=0.9976293444633484)
NormalizedLandmark(x=0.6055395007133484, y=0.6661763191223145, z=-0.19662602245807648, visibility=0.9988957643508911, presence=0.9965367317199707)
NormalizedLandmark(x=0.6029407978057861, y=0.6641411185264587, z=-0.20536530017852783, visibility=0.9988717436790466, presence=0.9972973465919495)
NormalizedLandmark(x=0.5909956693649292, y=0.6719257831573486, z=-0.03350123390555382, visibility=0.9991692304611206, presence=0.9977278113365173)
NormalizedLandmark(x=0.6050766110420227, y=0.6746479868888855, z=-0.1555619239807129, visibility=0.9990830421447754, presence=0.9980835914611816)
NormalizedLandmark(x=0.6000739336013794, y=0.6796960830688477, z=-0.022784335538744926, visibility=0.9980036616325378, presence=0.9944136738777161)
