
NormalizedLandmark(x=0.4278973639011383, y=0.7362268567085266, z=-0.3596470355987549, visibility=0.9997716546058655, presence=0.9994588494300842)
NormalizedLandmark(x=0.42667603492736816, y=0.7368239164352417, z=-0.38274455070495605, visibility=0.9997034668922424, presence=0.9990125894546509)
NormalizedLandmark(x=0.42813432216644287, y=0.7252445816993713, z=-0.3862402141094208, visibility=0.9993823766708374, presence=0.9978355765342712)
NormalizedLandmark(x=0.429409384727478, y=0.7307523488998413, z=-0.3853931427001953, visibility=0.9996607303619385, presence=0.9988412261009216)
NormalizedLandmark(x=0.43101251125335693, y=0.7193048596382141, z=-0.33235904574394226, visibility=0.997406542301178, presence=0.9918821454048157)
NormalizedLandmark(x=0.42350777983665466, y=0.7199607491493225, z=-0.3946632146835327, visibility=0.998454213142395, presence=0.9963016510009766)
NormalizedLandmark(x=0.41626083850860596, y=0.7230225801467896, z=-0.35368356108665466, visibility=0.994619607925415, presence=0.9878087043762207)
NormalizedLandmark(x=0.40959033370018005, y=0.7023540139198303, z=-0.3669106662273407, visibility=0.9948429465293884, presence=0.9889578819274902)
NormalizedLandmark(x=0.4101593494415283, y=0.7112926244735718, z=-0.35937607288360596, visibility=0.9930844306945801, presence=0.9874780178070068)
NormalizedLandmark(x=0.40583157539367676, y=0.7102612257003784, z=-0.3450976610183716, visibility=0.9930095672607422, presence=0.9839989542961121)
NormalizedLandmark(x=0.40463587641716003, y=0.7153274416923523, z=-0.32836782932281494, visibility=0.9973317384719849, presence=0.9954114556312561)
NormalizedLandmark(x=0.3963874876499176, y=0.7133715748786926, z=-0.28349193930625916, visibility=0.9929962754249573, presence=0.9899117350578308)
NormalizedLandmark(x=0.39127838611602783, y=0.7005016207695007, z=-0.30500489473342896, visibility=0.9919481873512268, presence=0.9836342334747314)
NormalizedLandmark(x=0.3768598735332489, y=0.6870615482330322, z=-0.2481817603111267, visibility=0.9902100563049316, presence=0.9889107942581177)
NormalizedLandmark(x=0.35979849100112915, y=0.6774475574493408, z=-0.224786639213562, visibility=0.9903029799461365, presence=0.9856221079826355)
NormalizedLandmark(x=0.34753039479255676, y=0.6700571179389954, z=-0.24294166266918182, visibility=0.9947006702423096, presence=0.9915406107902527)
NormalizedLandmark(x=0.3339473009109497, y=0.6867746114730835, z=-0.22337014973163605, visibility=0.9954428672790527, presence=0.9919275045394897)
NormalizedLandmark(x=0.32810312509536743, y=0.6977899074554443, z=-0.32808229327201843, visibility=0.9971440434455872, presence=0.9913457632064819)
NormalizedLandmark(x=0.32111525535583496, y=0.6969733834266663, z=-0.37553173303604126, visibility=0.9976508021354675, presence=0.9933783411979675)
NormalizedLandmark(x=0.3098413348197937, y=0.7047463059425354, z=-0.3447801470756531, visibility=0.9946644306182861, presence=0.9876031279563904)
NormalizedLandmark(x=0.3133593499660492, y=0.7035939693450928, z=-0.3618447482585907, visibility=0.9974457025527954, presence=0.9924792051315308)
NormalizedLandmark(x=0.30491504073143005, y=0.7193411588668823, z=-0.39486852288246155, visibility=0.9968749284744263, presence=0.9893731474876404)
NormalizedLandmark(x=0.3099750280380249, y=0.715983510017395, z=-0.37016740441322327, visibility=0.9985862970352173, presence=0.9957513809204102)
NormalizedLandmark(x=0.3118196725845337, y=0.7211388349533081, z=-0.39265578985214233, visibility=0.9973570108413696, presence=0.9917473793029785)
NormalizedLandmark(x=0.31061509251594543, y=0.7163114547729492, z=-0.41944435238838196, visibility=0.9972736239433289, presence=0.9884939789772034)
NormalizedLandmark(x=0.3085208535194397, y=0.7156659960746765, z=-0.2932043671607971, visibility=0.9973661303520203, presence=0.9942259192466736)
NormalizedLandmark(x=0.30610451102256775, y=0.7201792597770691, z=-0.35255536437034607, visibility=0.9965721368789673, presence=0.9868539571762085)
NormalizedLandmark(x=0.3072545528411865, y=0.7158785462379456, z=-0.34910479187965393, visibility=0.9981847405433655, presence=0.9969666600227356)
NormalizedLandmark(x=0.3138837516307831, y=0.7149750590324402, z=-0.39091214537620544, visibility=0.9968569278717041, presence=0.9909109473228455)
NormalizedLandmark(x=0.3134699761867523, y=0.7081827521324158, z=-0.34013646841049194, visibility=0.9960482716560364, presence=0.9873033165931702)
NormalizedLandmark(x=0.31065723299980164, y=0.71806401014328, z=-0.3908606469631195, visibility=0.996915340423584, presence=0.9938803911209106)
NormalizedLandmark(x=0.31567975878715515, y=0.7172370553016663, z=-0.390154629945755, visibility=0.9974220991134644, presence=0.9938144683837891)
NormalizedLandmark(x=0.3116362690925598, y=0.7136853933334351, z=-0.37523311376571655, visibility=0.9984269142150879, presence=0.9952247142791748)
NormalizedLandmark(x=0.3133803606033325, y=0.7139061093330383, z=-0.3414275348186493, visibility=0.9964556694030762, presence=0.9879032969474792)
