
NormalizedLandmark(x=0.7158949375152588, y=0.7151017785072327, z=-0.2231755554676056, visibility=0.9789186120033264, presence=0.9645980000495911)
NormalizedLandmark(x=0.7196236848831177, y=0.7205961346626282, z=-0.2674233317375183, visibility=0.9852529168128967, presence=0.9810644388198853)
NormalizedLandmark(x=0.7200968861579895, y=0.7157866358757019, z=-0.23991797864437103, visibility=0.9882521033287048, presence=0.9839149713516235)
NormalizedLandmark(x=0.7215287685394287, y=0.7126162052154541, z=-0.2615808844566345, visibility=0.9932093024253845, presence=0.9857591390609741)
NormalizedLandmark(x=0.721078097820282, y=0.7080840468406677, z=-0.22883588075637817, visibility=0.9839629530906677, presence=0.967391312122345)
NormalizedLandmark(x=0.7124672532081604, y=0.7153899669647217, z=-0.31160885095596313, visibility=0.9892684817314148, presence=0.9838008284568787)
NormalizedLandmark(x=0.7125738263130188, y=0.7147854566574097, z=-0.2557331621646881, visibility=0.98365318775177, presence=0.9815840125083923)
NormalizedLandmark(x=0.7141751050949097, y=0.713053822517395, z=-0.24125896394252777, visibility=0.9790908694267273, presence=0.9800001382827759)
NormalizedLandmark(x=0.7186594009399414, y=0.724888801574707, z=-0.2732175886631012, visibility=0.9921906590461731, presence=0.9866958856582642)
NormalizedLandmark(x=0.7156513333320618, y=0.7225579023361206, z=-0.24291464686393738, visibility=0.9873397350311279, presence=0.9779154062271118)
NormalizedLandmark(x=0.7136058807373047, y=0.7183351516723633, z=-0.2796448767185211, visibility=0.9806369543075562, presence=0.975767195224762)
NormalizedLandmark(x=0.7117749452590942, y=0.7200403213500977, z=-0.16704268753528595, visibility=0.9820740222930908, presence=0.9816595911979675)
NormalizedLandmark(x=0.7110238075256348, y=0.7238969206809998, z=-0.234942227602005, visibility=0.9870632290840149, presence=0.9838100671768188)
NormalizedLandmark(x=0.7156348824501038, y=0.7190440893173218, z=-0.2516110837459564, visibility=0.984514594078064, presence=0.9799306392669678)
NormalizedLandmark(x=0.7197461128234863, y=0.7269704937934875, z=-0.2745235860347748, visibility=0.9871392846107483, presence=0.9770828485488892)
NormalizedLandmark(x=0.7213902473449707, y=0.7133403420448303, z=-0.26780012249946594, visibility=0.9803923964500427, presence=0.9746228456497192)
NormalizedLandmark(x=0.7152717709541321, y=0.7329089641571045, z=-0.2772265672683716, visibility=0.9903083443641663, presence=0.9847672581672668)
NormalizedLandmark(x=0.7138587832450867, y=0.7541003823280334, z=-0.2238038182258606, visibility=0.9879741668701172, presence=0.9782910346984863)
NormalizedLandmark(x=0.7175570130348206, y=0.7677989602088928, z=-0.16937999427318573, visibility=0.9894518256187439, presence=0.9752005934715271)
NormalizedLandmark(x=0.7178436517715454, y=0.7857277989387512, z=-0.10223761945962906, visibility=0.9917536973953247, presence=0.9938386082649231)
NormalizedLandmark(x=0.7092344760894775, y=0.8166828155517578, z=-0.0831444039940834, visibility=0.9846774339675903, presence=0.9860548377037048)
NormalizedLandmark(x=0.7058642506599426, y=0.826330304145813, z=-0.056511830538511276, visibility=0.9749414920806885, presence=0.9746952056884766)
NormalizedLandmark(x=0.69935542345047, y=0.8551473021507263, z=-0.14386001229286194, visibility=0.9505566358566284, presence=0.9202041625976562)
NormalizedLandmark(x=0.6971650719642639, y=0.8593286871910095, z=-0.14319346845149994, visibility=0.9549680948257446, presence=0.915120542049408)
NormalizedLandmark(x=0.6876152753829956, y=0.8593297004699707, z=-0.0975572019815445, visibility=0.9514468312263489, presence=0.9214615225791931)
NormalizedLandmark(x=0.6995357275009155, y=0.8775737285614014, z=-0.11170497536659241, visibility=0.9197819232940674, presence=0.851202666759491)
NormalizedLandmark(x=0.6952274441719055, y=0.8783801794052124, z=-0.10125944763422012, visibility=0.9338421821594238, presence=0.8851299285888672)
NormalizedLandmark(x=0.7030580639839172, y=0.8894616365432739, z=-0.07701698690652847, visibility=0.9089521765708923, presence=0.8150835037231445)
NormalizedLandmark(x=0.7027257084846497, y=0.8920038938522339, z=-0.19391345977783203, visibility=0.9334146976470947, presence=0.7994786500930786)
NormalizedLandmark(x=0.7088027596473694, y=0.901701033115387, z=-0.15445880591869354, visibility=0.940639078617096, presence=0.8383399248123169)
NormalizedLandmark(x=0.7194225192070007, y=0.910054087638855, z=-0.1068473607301712, visibility=0.9335235357284546, presence=0.8479627370834351)
NormalizedLandmark(x=0.6977717280387878, y=0.8753576874732971, z=-0.02611761912703514, visibility=0.9354099631309509, presence=0.9109112620353699)
NormalizedLandmark(x=0.6780267953872681, y=0.8835526704788208, z=-0.00825147982686758, visibility=0.9132199287414551, presence=0.8860785961151123)
NormalizedLandmark(x=0.6716423630714417, y=0.8750842213630676, z=-0.05481940135359764, visibility=0.9242127537727356, presence=0.8954195976257324)
NormalizedLandmark(x=0.6652255058288574, y=0.8703873753547668, z=0.003655213862657547, visibility=0.9021396040916443, presence=0.8923347592353821)
NormalizedLandmark(x=0.6632758975028992, y=0.8815304040908813, z=-0.05872263014316559, visibility=0.9125447869300842, presence=0.8675623536109924)
NormalizedLandmark(x=0.6639094352722168, y=0.8751171231269836, z=-0.0897146612405777, visibility=0.9284836053848267, presence=0.892685055732727)
NormalizedLandmark(x=0.6596179604530334, y=0.8767450451850891, z=-0.04342103376984596, visibility=0.918804407119751, presence=0.9029002785682678)
NormalizedLandmark(x=0.667560875415802, y=0.8753299117088318, z=-0.05497096851468086, visibility=0.9298731684684753, presence=0.9205888509750366)
NormalizedLandmark(x=0.6702478528022766, y=0.8721252679824829, z=-0.01861531101167202, visibility=0.9306765794754028, presence=0.9376344084739685)
NormalizedLandmark(x=0.6635037064552307, y=0.8646024465560913, z=0.018316224217414856, visibility=0.9267600178718567, presence=0.9236467480659485)
NormalizedLandmark(x=0.6615247130393982, y=0.8712171316146851, z=-0.06278157234191895, visibility=0.9140951037406921, presence=0.89493328332901)
NormalizedLandmark(x=0.6595813035964966, y=0.8617929220199585, z=0.01963036134839058, visibility=0.8808128833770752, presence=0.9052440524101257)
NormalizedLandmark(x=0.6638426184654236, y=0.8678169250488281, z=-0.052923500537872314, visibility=0.9260493516921997, presence=0.896112322807312)
NormalizedLandmark(x=0.6647293567657471, y=0.8729172945022583, z=-0.04240746051073074, visibility=0.8917601704597473, presence=0.8837152719497681)
NormalizedLandmark(x=0.6649720072746277, y=0.8680564761161804, z=-0.007463209331035614, visibility=0.9051367044448853, presence=0.8870512843132019)
NormalizedLandmark(x=0.6664679050445557, y=0.873106837272644, z=-0.0194228682667017, visibility=0.9009687304496765, presence=0.9238858222961426)
NormalizedLandmark(x=0.6640248894691467, y=0.8660947680473328, z=-0.05311402678489685, visibility=0.9304935932159424, presence=0.9160951375961304)
NormalizedLandmark(x=0.6661363244056702, y=0.8696971535682678, z=0.0018415225204080343, visibility=0.9050585031509399, presence=0.9207343459129333)
NormalizedLandmark(x=0.670592725276947, y=0.8745066523551941, z=-0.03314405679702759, visibility=0.9123009443283081, presence=0.9276576042175293)
NormalizedLandmark(x=0.6732210516929626, y=0.8599559664726257, z=-0.012928171083331108, visibility=0.9344651699066162, presence=0.9156294465065002)
NormalizedLandmark(x=0.6774131655693054, y=0.8577846884727478, z=-0.10046710073947906, visibility=0.9532911777496338, presence=0.9199863076210022)
NormalizedLandmark(x=0.6997910141944885, y=0.8290064930915833, z=0.041126761585474014, visibility=0.9864360690116882, presence=0.986161470413208)
NormalizedLandmark(x=0.6980140805244446, y=0.7374019622802734, z=-0.1569848209619522, visibility=0.9773741960525513, presence=0.9555568695068359)
NormalizedLandmark(x=0.7149470448493958, y=0.6487033367156982, z=-0.12300096452236176, visibility=0.9803597331047058, presence=0.9634982347488403)
NormalizedLandmark(x=0.7119752168655396, y=0.5960898995399475, z=-0.18955789506435394, visibility=0.9745104908943176, presence=0.9187140464782715)
NormalizedLandmark(x=0.6834697127342224, y=0.5912603139877319, z=-0.19059790670871735, visibility=0.9931744933128357, presence=0.9788966774940491)
NormalizedLandmark(x=0.6705237627029419, y=0.5153606534004211, z=-0.24626095592975616, visibility=0.9937908053398132, presence=0.9893342852592468)
NormalizedLandmark(x=0.6545966863632202, y=0.49826979637145996, z=-0.24830664694309235, visibility=0.9949923157691956, presence=0.9931790828704834)
NormalizedLandmark(x=0.6437609195709229, y=0.46739956736564636, z=-0.15446187555789948, visibility=0.9898394346237183, presence=0.9917028546333313)
NormalizedLandmark(x=0.6345941424369812, y=0.4722736179828644, z=-0.2180134356021881, visibility=0.9945730566978455, presence=0.993891716003418)
NormalizedLandmark(x=0.6329564452171326, y=0.4670788049697876, z=-0.13524125516414642, visibility=0.9980966448783875, presence=0.9964608550071716)
NormalizedLandmark(x=0.626660168170929, y=0.44910117983818054, z=-0.1623072624206543, visibility=0.9893956780433655, presence=0.9850069880485535)
NormalizedLandmark(x=0.6316091418266296, y=0.461489200592041, z=-0.18675632774829865, visibility=0.9904593229293823, presence=0.9839851260185242)
NormalizedLandmark(x=0.629149317741394, y=0.4512082040309906, z=-0.17839482426643372, visibility=0.992368757724762, presence=0.9926203489303589)
NormalizedLandmark(x=0.6348000168800354, y=0.4497932195663452, z=-0.18090131878852844, visibility=0.990753173828125, presence=0.9843171834945679)
NormalizedLandmark(x=0.6314312219619751, y=0.45128583908081055, z=-0.24029836058616638, visibility=0.9909461736679077, presence=0.9861408472061157)
NormalizedLandmark(x=0.6349347233772278, y=0.4698388874530792, z=-0.18505117297172546, visibility=0.9943633079528809, presence=0.9920951724052429)
NormalizedLandmark(x=0.6357288360595703, y=0.44671523571014404, z=-0.15464802086353302, visibility=0.9948117733001709, presence=0.9949744939804077)
NormalizedLandmark(x=0.6341816186904907, y=0.4578908681869507, z=-0.23153945803642273, visibility=0.9904490113258362, presence=0.988637387752533)
NormalizedLandmark(x=0.6369574069976807, y=0.46368080377578735, z=-0.19929897785186768, visibility=0.997527539730072, presence=0.9948450326919556)
NormalizedLandmark(x=0.6343122124671936, y=0.46109047532081604, z=-0.083742156624794, visibility=0.9969407916069031, presence=0.9955219030380249)
NormalizedLandmark(x=0.6351445913314819, y=0.4480581283569336, z=-0.12358680367469788, visibility=0.9943804144859314, presence=0.990453839302063)
NormalizedLandmark(x=0.6245731115341187, y=0.44729554653167725, z=-0.20248380303382874, visibility=0.9868794083595276, presence=0.985784113407135)
NormalizedLandmark(x=0.6293740272521973, y=0.4479633867740631, z=-0.14034287631511688, visibility=0.9891272187232971, presence=0.9847016930580139)
NormalizedLandmark(x=0.6298588514328003, y=0.46332135796546936, z=-0.14590592682361603, visibility=0.9910749197006226, presence=0.9891133308410645)
NormalizedLandmark(x=0.630963146686554, y=0.4566541016101837, z=-0.1483881175518036, visibility=0.993429958820343, presence=0.991402804851532)
NormalizedLandmark(x=0.6364012360572815, y=0.45724743604660034, z=-0.17113207280635834, visibility=0.9951781034469604, presence=0.990692675113678)
NormalizedLandmark(x=0.6348481178283691, y=0.45445510745048523, z=-0.17215515673160553, visibility=0.9936886429786682, presence=0.9909479022026062)
NormalizedLandmark(x=0.641512393951416, y=0.46302759647369385, z=-0.1963241696357727, visibility=0.9940500259399414, presence=0.9888548254966736)
NormalizedLandmark(x=0.6388250589370728, y=0.4412456452846527, z=-0.16732637584209442, visibility=0.9949257373809814, presence=0.9944228529930115)
NormalizedLandmark(x=0.6455755233764648, y=0.4696006178855896, z=-0.16185249388217926, visibility=0.9944940209388733, presence=0.993846595287323)
NormalizedLandmark(x=0.65114426612854, y=0.4762575626373291, z=-0.17321878671646118, visibility=0.9963730573654175, presence=0.9947885274887085)
NormalizedLandmark(x=0.6612555980682373, y=0.49385949969291687, z=-0.24964459240436554, visibility=0.9932922124862671, presence=0.9921423196792603)
NormalizedLandmark(x=0.6699184775352478, y=0.5082070827484131, z=-0.2574463188648224, visibility=0.9940429329872131, presence=0.9895334839820862)
NormalizedLandmark(x=0.6856177449226379, y=0.5533300042152405, z=-0.24051858484745026, visibility=0.9893797039985657, presence=0.9882422089576721)
NormalizedLandmark(x=0.6960126161575317, y=0.5827208757400513, z=-0.20959854125976562, visibility=0.9921252131462097, presence=0.9846087694168091)
NormalizedLandmark(x=0.7078743577003479, y=0.6445412635803223, z=-0.1886804699897766, visibility=0.9783982038497925, presence=0.9726302623748779)
NormalizedLandmark(x=0.7172250151634216, y=0.6672482490539551, z=-0.2750740349292755, visibility=0.9880927205085754, presence=0.9841814041137695)
NormalizedLandmark(x=0.7092412710189819, y=0.673142671585083, z=-0.23029960691928864, visibility=0.9865923523902893, presence=0.9840115308761597)
NormalizedLandmark(x=0.7147920727729797, y=0.6804376840591431, z=-0.23644013702869415, visibility=0.9903468489646912, presence=0.9892475008964539)
