
NormalizedLandmark(x=0.8526104092597961, y=0.7132580876350403, z=-0.45936745405197144, visibility=0.9854031801223755, presence=0.9204776287078857)
NormalizedLandmark(x=0.8478503227233887, y=0.7101530432701111, z=-0.44641977548599243, visibility=0.9794936776161194, presence=0.8373435139656067)
NormalizedLandmark(x=0.8470728993415833, y=0.7082077264785767, z=-0.3562966585159302, visibility=0.9730868339538574, presence=0.8255906105041504)
NormalizedLandmark(x=0.85395348072052, y=0.7065739631652832, z=-0.4600977599620819, visibility=0.9791350364685059, presence=0.8625745177268982)
NormalizedLandmark(x=0.8493189215660095, y=0.7011401057243347, z=-0.46478188037872314, visibility=0.9873577356338501, presence=0.9129045605659485)
NormalizedLandmark(x=0.8478307127952576, y=0.7040082216262817, z=-0.4629838168621063, visibility=0.9786192774772644, presence=0.8618344664573669)
NormalizedLandmark(x=0.8519516587257385, y=0.6951766610145569, z=-0.43174588680267334, visibility=0.964410662651062, presence=0.7467954754829407)
NormalizedLandmark(x=0.8556155562400818, y=0.7060182690620422, z=-0.47196507453918457, visibility=0.9752546548843384, presence=0.8580747246742249)
NormalizedLandmark(x=0.8530538082122803, y=0.7021507024765015, z=-0.4451163113117218, visibility=0.9843088984489441, presence=0.9125197529792786)
NormalizedLandmark(x=0.8532040119171143, y=0.6999368667602539, z=-0.4463578760623932, visibility=0.9858026504516602, presence=0.888435959815979)
NormalizedLandmark(x=0.856380045413971, y=0.6976097226142883, z=-0.4125818908214569, visibility=0.972087562084198, presence=0.7714725732803345)
NormalizedLandmark(x=0.845492959022522, y=0.6977047324180603, z=-0.4904825687408447, visibility=0.9783719182014465, presence=0.8729514479637146)
NormalizedLandmark(x=0.8507245182991028, y=0.700644850730896, z=-0.45229166746139526, visibility=0.9762518405914307, presence=0.8623285293579102)
NormalizedLandmark(x=0.8489823937416077, y=0.7033637166023254, z=-0.4544822573661804, visibility=0.9736554026603699, presence=0.8598623275756836)
NormalizedLandmark(x=0.8514346480369568, y=0.7065725922584534, z=-0.4817706346511841, visibility=0.9875015020370483, presence=0.9163747429847717)
NormalizedLandmark(x=0.8538647294044495, y=0.7025787830352783, z=-0.44748085737228394, visibility=0.9792095422744751, presence=0.8573582172393799)
NormalizedLandmark(x=0.8463623523712158, y=0.7025275230407715, z=-0.4844855070114136, visibility=0.9757492542266846, presence=0.8604932427406311)
NormalizedLandmark(x=0.8496806621551514, y=0.7054396271705627, z=-0.3691283166408539, visibility=0.9774966239929199, presence=0.8951740264892578)
NormalizedLandmark(x=0.8479475378990173, y=0.7017466425895691, z=-0.44193917512893677, visibility=0.982428252696991, presence=0.905829906463623)
NormalizedLandmark(x=0.8534544110298157, y=0.699307918548584, z=-0.4544657766819, visibility=0.9768228530883789, presence=0.8536735773086548)
NormalizedLandmark(x=0.8562960624694824, y=0.707992434501648, z=-0.48788610100746155, visibility=0.9784181714057922, presence=0.8555895686149597)
NormalizedLandmark(x=0.856178879737854, y=0.6974071264266968, z=-0.4758176803588867, visibility=0.9586458802223206, presence=0.7554521560668945)
NormalizedLandmark(x=0.8525338768959045, y=0.7221879363059998, z=-0.4688718914985657, visibility=0.9780527949333191, presence=0.8751749396324158)
NormalizedLandmark(x=0.8545824885368347, y=0.7455462217330933, z=-0.4218443036079407, visibility=0.9810803532600403, presence=0.8957425355911255)
NormalizedLandmark(x=0.858346700668335, y=0.7672953605651855, z=-0.3737418055534363, visibility=0.9733462929725647, presence=0.808036208152771)
NormalizedLandmark(x=0.8616710901260376, y=0.832332193851471, z=-0.3040333390235901, visibility=0.9902691841125488, presence=0.958239734172821)
NormalizedLandmark(x=0.8462693095207214, y=0.9044207334518433, z=-0.28037023544311523, visibility=0.9777776002883911, presence=0.8999771475791931)
NormalizedLandmark(x=0.8375098705291748, y=0.9253007769584656, z=-0.25583580136299133, visibility=0.96512770652771, presence=0.8437862992286682)
NormalizedLandmark(x=0.828007161617279, y=0.9723843336105347, z=-0.26979219913482666, visibility=0.8973585963249207, presence=0.5975812077522278)
NormalizedLandmark(x=0.818026602268219, y=0.9958388805389404, z=-0.319746196269989, visibility=0.9234443306922913, presence=0.6539932489395142)
NormalizedLandmark(x=0.8088387250900269, y=1.0072925090789795, z=-0.25007134675979614, visibility=0.9069653749465942, presence=0.5476468801498413)
NormalizedLandmark(x=0.7891941070556641, y=1.0218935012817383, z=-0.27419278025627136, visibility=0.8609145879745483, presence=0.5695313811302185)
NormalizedLandmark(x=0.7963388562202454, y=1.0216124057769775, z=-0.25588950514793396, visibility=0.8946497440338135, presence=0.6366158723831177)
NormalizedLandmark(x=0.806659460067749, y=1.0338966846466064, z=-0.2116171419620514, visibility=0.8616521954536438, presence=0.503815233707428)
NormalizedLandmark(x=0.801446795463562, y=1.0372899770736694, z=-0.3398534655570984, visibility=0.8253661394119263, presence=0.3015247881412506)
NormalizedLandmark(x=0.8013666272163391, y=1.0403205156326294, z=-0.33077406883239746, visibility=0.8728600740432739, presence=0.4863889813423157)
NormalizedLandmark(x=0.7921532392501831, y=1.0380011796951294, z=-0.2649184763431549, visibility=0.81938236951828, presence=0.5644579529762268)
NormalizedLandmark(x=0.815833568572998, y=1.0272574424743652, z=-0.1814015507698059, visibility=0.9199883341789246, presence=0.6990443468093872)
NormalizedLandmark(x=0.8049665093421936, y=1.0247324705123901, z=-0.17402082681655884, visibility=0.8946764469146729, presence=0.6092768907546997)
NormalizedLandmark(x=0.7981882691383362, y=1.021647334098816, z=-0.20362140238285065, visibility=0.9074748158454895, presence=0.6253665685653687)
NormalizedLandmark(x=0.795965313911438, y=1.0176271200180054, z=-0.16049373149871826, visibility=0.8964829444885254, presence=0.6607151031494141)
NormalizedLandmark(x=0.7920941710472107, y=1.0164282321929932, z=-0.2206907421350479, visibility=0.9027427434921265, presence=0.6000881791114807)
NormalizedLandmark(x=0.7871510982513428, y=1.0043572187423706, z=-0.2458573579788208, visibility=0.9039297103881836, presence=0.5854483842849731)
NormalizedLandmark(x=0.7866406440734863, y=1.0177297592163086, z=-0.20995265245437622, visibility=0.9136219620704651, presence=0.7145655155181885)
NormalizedLandmark(x=0.7978010773658752, y=1.0215082168579102, z=-0.23999787867069244, visibility=0.9126567840576172, presence=0.7192021012306213)
NormalizedLandmark(x=0.8024603724479675, y=1.0157803297042847, z=-0.1945405900478363, visibility=0.9309560060501099, presence=0.8018311262130737)
NormalizedLandmark(x=0.7909703850746155, y=1.0089164972305298, z=-0.1359754353761673, visibility=0.9273290038108826, presence=0.7854594588279724)
NormalizedLandmark(x=0.7934901714324951, y=1.0223970413208008, z=-0.23855508863925934, visibility=0.8785731792449951, presence=0.6000224351882935)
NormalizedLandmark(x=0.7851076722145081, y=1.0169177055358887, z=-0.14757029712200165, visibility=0.8558949828147888, presence=0.6829442977905273)
NormalizedLandmark(x=0.7915139198303223, y=1.0192879438400269, z=-0.22311800718307495, visibility=0.9117416143417358, presence=0.6895056962966919)
