
NormalizedLandmark(x=0.1684885323047638, y=0.6788937449455261, z=-0.5402005910873413, visibility=0.9930281043052673, presence=0.8740189075469971)
NormalizedLandmark(x=0.170538991689682, y=0.6892964839935303, z=-0.5312008261680603, visibility=0.9963060617446899, presence=0.9447342157363892)
NormalizedLandmark(x=0.17839954793453217, y=0.7018935084342957, z=-0.5425124168395996, visibility=0.9962595701217651, presence=0.9306803345680237)
NormalizedLandmark(x=0.17786750197410583, y=0.6988614797592163, z=-0.575502872467041, visibility=0.9947792291641235, presence=0.8778966665267944)
NormalizedLandmark(x=0.1739005148410797, y=0.7014971375465393, z=-0.4797375500202179, visibility=0.9940407872200012, presence=0.9313061833381653)
NormalizedLandmark(x=0.17529144883155823, y=0.7007747292518616, z=-0.5082455277442932, visibility=0.9941624999046326, presence=0.8947265148162842)
NormalizedLandmark(x=0.17125895619392395, y=0.701784074306488, z=-0.5372388958930969, visibility=0.9963898062705994, presence=0.9623152613639832)
NormalizedLandmark(x=0.1754223108291626, y=0.6887587904930115, z=-0.5342921614646912, visibility=0.9953142404556274, presence=0.9160093069076538)
NormalizedLandmark(x=0.17800287902355194, y=0.6904107332229614, z=-0.49109551310539246, visibility=0.9925127029418945, presence=0.868480384349823)
NormalizedLandmark(x=0.16998359560966492, y=0.6923365592956543, z=-0.5517699122428894, visibility=0.9936050772666931, presence=0.9304875135421753)
NormalizedLandmark(x=0.17585374414920807, y=0.6910961866378784, z=-0.5665029883384705, visibility=0.9962397813796997, presence=0.9560614228248596)
NormalizedLandmark(x=0.175183966755867, y=0.692281186580658, z=-0.5298525094985962, visibility=0.996060311794281, presence=0.9426258206367493)
NormalizedLandmark(x=0.1751192957162857, y=0.6968662738800049, z=-0.48445531725883484, visibility=0.9936582446098328, presence=0.8888142704963684)
NormalizedLandmark(x=0.1746620237827301, y=0.6946385502815247, z=-0.553746223449707, visibility=0.9937272071838379, presence=0.9210820198059082)
NormalizedLandmark(x=0.17187224328517914, y=0.6951168775558472, z=-0.5552468299865723, visibility=0.9947959780693054, presence=0.9110180735588074)
NormalizedLandmark(x=0.17044922709465027, y=0.6960716247558594, z=-0.5423164963722229, visibility=0.9946258664131165, presence=0.9109265804290771)
NormalizedLandmark(x=0.1680954396724701, y=0.7023017406463623, z=-0.5541626214981079, visibility=0.9962402582168579, presence=0.9564307332038879)
NormalizedLandmark(x=0.17678701877593994, y=0.6964588165283203, z=-0.5262216925621033, visibility=0.9945526719093323, presence=0.9352171421051025)
