
NormalizedLandmark(x=0.4518463909626007, y=0.6771690845489502, z=-0.05961776524782181, visibility=0.9973234534263611, presence=0.9941720366477966)
NormalizedLandmark(x=0.4491319954395294, y=0.664890468120575, z=-0.08179711550474167, visibility=0.9974193572998047, presence=0.9923589825630188)
NormalizedLandmark(x=0.4469294250011444, y=0.6656159162521362, z=-0.06892842799425125, visibility=0.9978795051574707, presence=0.9944761395454407)
NormalizedLandmark(x=0.4434419572353363, y=0.6629652976989746, z=-0.09839815646409988, visibility=0.9988320469856262, presence=0.9963915944099426)
NormalizedLandmark(x=0.44311094284057617, y=0.6614492535591125, z=-0.14720922708511353, visibility=0.9988430738449097, presence=0.9973577857017517)
NormalizedLandmark(x=0.4399319589138031, y=0.6749171614646912, z=-0.18998081982135773, visibility=0.9994032382965088, presence=0.9986864924430847)
NormalizedLandmark(x=0.43976569175720215, y=0.6725510954856873, z=-0.2949948012828827, visibility=0.9996998310089111, presence=0.9994726777076721)
NormalizedLandmark(x=0.43870383501052856, y=0.6664955615997314, z=-0.3461478054523468, visibility=0.9995819926261902, presence=0.9992669224739075)
NormalizedLandmark(x=0.43464764952659607, y=0.6708229780197144, z=-0.3122042417526245, visibility=0.9996950626373291, presence=0.9993577599525452)
NormalizedLandmark(x=0.43833911418914795, y=0.6679052710533142, z=-0.33069491386413574, visibility=0.9996979236602783, presence=0.9994921684265137)
NormalizedLandmark(x=0.43637779355049133, y=0.6739687323570251, z=-0.3590850830078125, visibility=0.9996975660324097, presence=0.9994847774505615)
NormalizedLandmark(x=0.43819016218185425, y=0.666275143623352, z=-0.3276877701282501, visibility=0.9997697472572327, presence=0.9996726512908936)
NormalizedLandmark(x=0.43666091561317444, y=0.6660681366920471, z=-0.33478373289108276, visibility=0.9995490908622742, presence=0.999135434627533)
NormalizedLandmark(x=0.4341200292110443, y=0.6702009439468384, z=-0.36006641387939453, visibility=0.9994590878486633, presence=0.9988634586334229)
NormalizedLandmark(x=0.43337345123291016, y=0.6640937328338623, z=-0.24764268100261688, visibility=0.9998539686203003, presence=0.9997872710227966)
NormalizedLandmark(x=0.4342484772205353, y=0.6702483296394348, z=-0.31612154841423035, visibility=0.9997159838676453, presence=0.9995459914207458)
